lpg_class,egon_class,n_profiles
"CHR62 Couple, 30 - 64 years, vacation home (1 month presence only)",None,0
OR01 Single Person Office,None,0
CHR52 Student Flatsharing,OO,0
"CHR14 3 adults: Couple, 30- 64 years, both at work + Senior at home",OR,0
"CHR15 Multigenerational Home: working couple, 2 children, 2 seniors",OR,0
"CHR03 Family, 1 child, both at work",P1,0
"CHR45 Family with 1 child, 1 at work, 1 at home",P1,0
"CHR49 Family with 1 child, without work",P1,0
"CHR60 Family, 1 toddler, one at work, one at home",P1,0
"CHR61 Family, 1 child, both at work, early living pattern",P1,0
"CHR18 Family, 2 children, parents without work",P2,0
"CHR27 Family both at work, 2 children",P2,0
"CHR44 Family with 2 children, 1 at work, 1 at home",P2,0
"CHR48 Family with 2 children, without work",P2,0
"CHR53 2 Parents, 1 Working, 2 Children",P2,0
"CHR56 Couple with 2 children, husband at work",P2,0
"CHR57 Family with 2 Children, Man at work",P2,0
"CHS01 Couple with 2 Children, Dad Employed",P2,0
"CHR05 Family, 3 children, both with work",P3,0
"CHR20 one at work, one work home, 3 children",P3,0
"CHR41 Family with 3 children, both at work",P3,0
"CHR59 Family, 3 children, parents without work",P3,0
CHR01 Couple both at Work,PO,0
"CHR02 Couple, 30 - 64 age, with work",PO,0
"CHR04 Couple, 30 - 64 years, 1 at work, 1 at home",PO,0
CHR17 Shiftworker Couple,PO,0
"CHR19 Couple, 30 - 64 years, both at work, with homehelp",PO,0
"CHR21 Couple, 30 - 64 years, shift worker",PO,0
CHR32 Couple under 30 years without work,PO,0
CHR33 Couple under 30 years with work,PO,0
"CHR34 Couple under 30 years, one at work, one at home",PO,0
"CHR39 Couple, 30 - 64 years, with work",PO,0
"CHR40 Couple, 30 - 64 years, without work",PO,0
CHR55 Couple with work around 40,PO,0
CHS12 Shiftworker Couple,PO,0
CHR16 Couple over 65 years,PR,0
CHR51 Couple over 65 years II,PR,0
"CHR54 Retired Couple, no work",PR,0
"CHR58 Retired Couple, no work, no cooking",PR,0
"CHS04 Retired Couple, no work",PR,0
"CHR08 Single woman, 2 children, with work",SK,0
"CHR22 Single woman, 1 child, with work",SK,0
"CHR42 Single man with 2 children, with work",SK,0
"CHR43 Single man with 1 child, with work",SK,0
"CHR46 Single woman, 1 child, without work",SK,0
"CHR47 Single woman, 2 children, without work",SK,0
"CHR50 Single woman with 3 children, without work",SK,0
CHR06 Jak Jobless,SO,0
CHR07 Single with work,SO,0
"CHR09 Single woman, 30 - 64 years, with work",SO,0
"CHR10 Single man, 30 - 64 age, shift worker",SO,0
"CHR11 Student, Female, Philosophy",SO,0
"CHR12 Student 2, Male, Philosophy",SO,0
CHR13 Student with Work,SO,0
CHR25 Single woman under 30 years with work,SO,0
CHR26 Single woman under 30 years without work,SO,0
CHR28 Single man under 30 years without work,SO,0
CHR29 Single man under 30 years with work,SO,0
"CHR35 Single woman, 30 - 64 years, with work",SO,0
"CHR36 Single woman, 30 - 64 years, without work",SO,0
"CHR37 Single man, 30 - 64 years, with work",SO,0
"CHR38 Single man, 30 - 64 years, without work",SO,0
CHR23 Single man over 65 years,SR,0
CHR24 Single woman over 65 years,SR,35
"CHR30 Single, Retired Man",SR,36
"CHR31 Single, Retired Woman",SR,37
