lpg_class,hh_type,n_profiles,n_profiles_new
"CHR62 Couple, 30 - 64 years, vacation home (1 month presence only)",nan,0,0
OR01 Single Person Office,nan,0,0
CHR52 Student Flatsharing,OO,30,14
"CHR14 3 adults: Couple, 30- 64 years, both at work + Senior at home",OR,15,8
"CHR15 Multigenerational Home: working couple, 2 children, 2 seniors",OR,15,5
"CHR03 Family, 1 child, both at work",P1,22,24
"CHR45 Family with 1 child, 1 at work, 1 at home",P1,22,19
"CHR49 Family with 1 child, without work",P1,22,7
"CHR60 Family, 1 toddler, one at work, one at home",P1,22,18
"CHR61 Family, 1 child, both at work, early living pattern",P1,22,24
"CHR18 Family, 2 children, parents without work",P2,15,2
"CHR27 Family both at work, 2 children",P2,15,42
"CHR44 Family with 2 children, 1 at work, 1 at home",P2,15,9
"CHR48 Family with 2 children, without work",P2,15,2
"CHR53 2 Parents, 1 Working, 2 Children",P2,15,2
"CHR56 Couple with 2 children, husband at work",P2,15,8
"CHR57 Family with 2 Children, Man at work",P2,15,8
"CHS01 Couple with 2 Children, Dad Employed",P2,15,8
"CHR05 Family, 3 children, both with work",P3,19,11
"CHR20 one at work, one work home, 3 children",P3,19,16
"CHR41 Family with 3 children, both at work",P3,19,10
"CHR59 Family, 3 children, parents without work",P3,19,3
CHR01 Couple both at Work,PO,13,9
"CHR02 Couple, 30 - 64 age, with work",PO,13,14
"CHR04 Couple, 30 - 64 years, 1 at work, 1 at home",PO,13,14
CHR17 Shiftworker Couple,PO,13,9
"CHR19 Couple, 30 - 64 years, both at work, with homehelp",PO,13,8
"CHR21 Couple, 30 - 64 years, shift worker",PO,13,8
CHR32 Couple under 30 years without work,PO,13,19
CHR33 Couple under 30 years with work,PO,13,13
"CHR34 Couple under 30 years, one at work, one at home",PO,13,13
"CHR39 Couple, 30 - 64 years, with work",PO,13,13
"CHR40 Couple, 30 - 64 years, without work",PO,13,19
CHR55 Couple with work around 40,PO,13,13
CHS12 Shiftworker Couple,PO,13,8
CHR16 Couple over 65 years,PR,24,19
CHR51 Couple over 65 years II,PR,24,19
"CHR54 Retired Couple, no work",PR,24,18
"CHR58 Retired Couple, no work, no cooking",PR,24,18
"CHS04 Retired Couple, no work",PR,24,18
"CHR08 Single woman, 2 children, with work",SK,9,7
"CHR22 Single woman, 1 child, with work",SK,9,6
"CHR42 Single man with 2 children, with work",SK,9,6
"CHR43 Single man with 1 child, with work",SK,9,6
"CHR46 Single woman, 1 child, without work",SK,9,17
"CHR47 Single woman, 2 children, without work",SK,9,16
"CHR50 Single woman with 3 children, without work",SK,9,16
CHR06 Jak Jobless,SO,10,11
CHR07 Single with work,SO,10,19
"CHR09 Single woman, 30 - 64 years, with work",SO,10,19
"CHR10 Single man, 30 - 64 age, shift worker",SO,10,18
"CHR11 Student, Female, Philosophy",SO,10,21
"CHR12 Student 2, Male, Philosophy",SO,10,21
CHR13 Student with Work,SO,10,21
CHR25 Single woman under 30 years with work,SO,10,18
CHR26 Single woman under 30 years without work,SO,10,21
CHR28 Single man under 30 years without work,SO,10,20
CHR29 Single man under 30 years with work,SO,10,18
"CHR35 Single woman, 30 - 64 years, with work",SO,10,18
"CHR36 Single woman, 30 - 64 years, without work",SO,10,20
"CHR37 Single man, 30 - 64 years, with work",SO,10,18
"CHR38 Single man, 30 - 64 years, without work",SO,10,20
CHR23 Single man over 65 years,SR,23,38
CHR24 Single woman over 65 years,SR,35,38
"CHR30 Single, Retired Man",SR,36,37
"CHR31 Single, Retired Woman",SR,37,37
